,Название,Город,Описание,Ссылки
75,FOS clothes,Киров,Идея FOS — внести в повседневность эстетику простых свободных форм и сохранить функциональность.,"['https://fosclothes.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/fosclothes/?ref=russianstreetwear.club', 'https://vk.com/clothesfos?ref=russianstreetwear.club']"
76,FUCKINGSQUARE,Москва,None,"['https://fuksqre.com/?ref=russianstreetwear.club', 'https://www.instagram.com/fuksqre/?ref=russianstreetwear.club', 'https://vk.com/fuksqre?ref=russianstreetwear.club']"
77,Fusion,Москва,"Fusion — это синтез / единство.Синтез родственных душ, синтез культур, синтез молодой энергии, которая формирует наше будущее.Каждая субкультура воздействует на общество по-своему, реализовываясь в разных измерениях, а также создает собственных героев.Однако, культурный сплав отражает город, который мы видим, а также его жителей, которые проявляют дух улиц и уличной одежды.","['https://ru.fusion-clothing.com/?ref=russianstreetwear.club', 'https://www.instagram.com/fusion_clothing/?ref=russianstreetwear.club']"
78,FUZZZ,Санкт-Петербург,"Мы сообщество , объединённое идеей создания гармонии между гардеробом человека и окружающей нас природой.Вдохновляясь, мы стараемся создавать практичные и экологически чистые вещи для всех, кто разделяет наши мысли.","['https://fuzzzadelic.com/?ref=russianstreetwear.club', 'https://www.instagram.com/fuzzzadelic/?ref=russianstreetwear.club']"
79,GAMP,Санкт-Петербург,"Gamp – питерский бренд, основанный Даниилом и Натальей в 2018 году. Даниил – альпинист и предприниматель. Наташа – дизайнер. Мы живём в Питере, но много путешествуем. Весной 2018-го мы поняли, что дома не осталось ни одного рабочего зонта, да и для нашей активной жизни нужно что-то другое.","['https://gampstore.ru/?ref=russianstreetwear.club', 'https://instagram.com/gampstore?ref=russianstreetwear.club', 'https://vk.com/gampstore?ref=russianstreetwear.club']"
80,Gilson,Тюмень,Gilson - It's not what you think it is.,"['https://vk.link/gilsoncmp?ref=russianstreetwear.club', 'https://vk.com/gilsoncmp?ref=russianstreetwear.club']"
81,Haliky Clothing,Москва,None,"['https://www.haliky.com/?ref=russianstreetwear.club', 'https://www.instagram.com/halikyspr/?ref=russianstreetwear.club', 'https://vk.com/halikyclothing?ref=russianstreetwear.club']"
82,HARD,Екатеринбург,"HARD – бренд уличной одежды, вдохновленный прогрессивной стритвир модой и урбанистическим дизайном. HARD – это качественная, удобная и оригинальная одежда для городской жизни. Лекала разрабатываются в России, полный производственный цикл сосредоточен в Екатеринбурге.","['https://hard-store.com/brand/hard/?ref=russianstreetwear.club', 'https://instagram.com/hard_store?ref=russianstreetwear.club', 'https://t.me/hard_store_com?ref=russianstreetwear.club', 'https://vk.com/hard.store?ref=russianstreetwear.club']"
83,HEARTZ,Москва,"Арт-синдикат, образованный в Москве Александром Катанаевым и Семеном Поповым.Название Heartz является гибридом слов «Heart» (сердце) и «Hertz» (герцы), «Immo» является сокращением от «Immortal» (бессмертие). В этой простой игре слов отражено наше послание: цифровизация каждого аспекта жизни, к которой неуклонно тянется человечество на протяжении 21 века.","['http://heartz.immo/?ref=russianstreetwear.club', 'https://www.instagram.com/heartz.immo/?ref=russianstreetwear.club', 'https://vk.com/heartz.immo?ref=russianstreetwear.club']"
84,HELGI INGVARR,Москва,"Helgi и Ingvarr - имена, отсылающие к истокам формирования культуры нашей страны - так звали первых русских князей. Названием мы подчеркиваем связь первозданной природы с современным человеком. Мы вдохновлены развивающимся трендом на туризм и активный отдых, хотим поддерживать любовь к родной земле и собрать команду единомышленников.","['https://helgiingvarr.com/?ref=russianstreetwear.club', 'https://www.instagram.com/helgi_ingvarr/?ref=russianstreetwear.club']"
85,HEYMATE GANG,Новосибирск,"HEYMATE GANG - бренд уличной одежды, с множеством уникальных принтов, имеющим отсылки к хип-хоп звездам, культовым личностям и их деятельности. Также мы шьем базовые изделия, без ярких принтов и логотипов, которые впишутся в гардероб каждого :)","['https://heymate-gang.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/heymate.store/?ref=russianstreetwear.club', 'https://vk.com/heymate_gang?ref=russianstreetwear.club']"
86,HOKU DYNASTY,hokudynasty,"HOKU DYNASTY - это бренд одежды сочетающий в себе уникальный уличный стиль, удобство и комфорт.","['https://www.instagram.com/hokudynasty/?ref=russianstreetwear.club', 'https://vk.com/hokudynasty?ref=russianstreetwear.club']"
87,ICONE FIRE,Владивосток,"То, что мы делаем, — сочетание самого худшего, что есть в мире, и самого лучшего, что есть в нас","['https://iconefire.com/?ref=russianstreetwear.club', 'https://www.instagram.com/iconefire/?ref=russianstreetwear.club']"
88,Igan Designer,Москва,"Igan Designer — это бесконечная геометрическая прогрессия и органичность, созданная для торжественной повседневности. За сложностью кроя и линий мы спрятали нам`к на многогранность стиля, на брутальность в лучшем смысле этого слова, а также на качество создаваемых нами моделей. ","['https://igandesigner.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/igan_official/?ref=russianstreetwear.club', 'https://vk.com/igan_official?ref=russianstreetwear.club']"
89,INDIGO STUFF,Санкт-Петербург,Бренд альтернативной уличной одежды.,"['https://theindigostuff.com/?ref=russianstreetwear.club', 'https://vk.com/theindigostuff?ref=russianstreetwear.club', 'https://www.instagram.com/theindigostuff/?ref=russianstreetwear.club']"
90,Indiwd,Архангельск,"Бренд, ориентированный на создание одежды высокого качества.","['https://indiwd.com/?ref=russianstreetwear.club', 'https://www.instagram.com/indiwd/?ref=russianstreetwear.club', 'https://vk.com/indiwd?ref=russianstreetwear.club']"
91,Iodes brand,Москва,"Iodes brand – Российская марка одежды, которая с 2022 года выпускает модную и прогрессивную мужскую и женскую одежду. Бренд был создан в 2022 году как отдельное направление от художника уличной культуры iodes-команда НЕМЫ (немые мысли, основанную в 2000 году. Легендарный Бренд ориентирован на современных и неформальных жителей мегаполиса. Коллекции бренда стирают грань между строгой классикой и передовой модой. Они соединяют в себе уличный стиль и свободу. Бренд в 2022 году один из первых в России создал свои модели мужских и женских джинс, также рубашки из денима, что породило множество коллабораций с российскими блогерами, спортсменами и актерами. Iodes brand избрал путь с ассоциацией себя со свободой. В портфолио компании также представлены аксессуары – ности и кепки. Также представлено завидное количество верхней одежды. Бренд ведет огромную работу по созданию большого ассортимента современной и повседневной одежды. ","['https://iodesbrand.com/?ref=russianstreetwear.club', 'https://www.instagram.com/iodes_brand/?ref=russianstreetwear.club', 'https://vk.com/iodesbrand?ref=russianstreetwear.club']"
92,ISCARIOT,Екатеринбург,"ISCARIOT — бренд одежды из Екатеринбурга, который распространяется по всей нашей необъятной родине. Каждая наша вещь сохраняет тонкую грань между лаконичным дизайном и дерзким посылом. Мы постоянно работаем над удобством и функциональностью каждой коллекции, продумывая все до мелочей. Страсть и любовь к экспериментам, многолетний опыт позволяет нам создавать стильную, доступную и при этом качественную одежду. Art is the grandson of the creator, it's not worth itDisconnect them. 2023 Ⓒ","['https://instagram.com/iscario_ct?ref=russianstreetwear.club', 'https://vk.com/iscariot_ct?ref=russianstreetwear.club']"
93,ISO&DES,Тюмень,Самовыражение важно для нас.,"['https://instagram.com/iiso.design?ref=russianstreetwear.club', 'https://t.me/isodesign1?ref=russianstreetwear.club', 'https://vk.com/iiso.design?ref=russianstreetwear.club']"
94,Issue,Москва,"ISSUE появился в 2020 году в городе Москва после того, как два давних друга встретили лесного Духа огня на ночной стоянке у костра. История проста и банальна, но этот Дух даровал друзьям знания, благодаря которым стало возможно появление бренда ISSUE. Любовь к природе и путешествиям, творчество и магия ночных улиц - это то, что вдохновляет нас на новые свершения. We love streets, and streets love us. ","['http://issuewear.com/?ref=russianstreetwear.club', 'https://www.instagram.com/issue_wear/?ref=russianstreetwear.club']"
95,it's not funny,Москва,None,"['https://www.instagram.com/itsntfny/?ref=russianstreetwear.club', 'https://vk.com/ntfnits?ref=russianstreetwear.club']"
96,Jogger Street,Красноярск,"Бренд одежды, созданный в Красноярске в 2019 году, вдохновляющийся всем вокруг, в нашей стране и зарубежом. Мы про уличный стиль, дерзость, смелость, свободу и самовыражение. Будь с нами! Будь Jogger Street!","['https://joggerstreet.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/jogger.street?ref=russianstreetwear.club', 'https://vk.com/jogger.street?ref=russianstreetwear.club']"
97,KARDAR,Санкт-Петербург,"Экспериментальная одежда и аксессуары, для городских ритмов.","['https://kardar.tech/?ref=russianstreetwear.club', 'https://www.instagram.com/kardar.tech/?ref=russianstreetwear.club', 'https://vk.com/kardartech?ref=russianstreetwear.club']"
98,konwa,Санкт-Петербург,"Марка уличной одежды konwa основана в 2007 году в Петербурге.Под этим брендом создаётся концептуальная одежда для современных и независимых людей.","['https://www.konwa.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/konwa_clothing/?ref=russianstreetwear.club', 'https://vk.com/konwa?ref=russianstreetwear.club']"
99,kosynkageniy,Москва,"Утепленные косынки с авторскими принтами, созданные художницей Дарьей Агений. ""Мы взяли привычную форму и наделили её новыми смыслами""","['https://kosynka.store/?ref=russianstreetwear.club', 'https://instagram.com/kosynkageniy?ref=russianstreetwear.club', 'https://vk.com/kosynkageniy?ref=russianstreetwear.club']"
100,KRAKATAU,Санкт-Петербург,"KRAKATAU — движение, в основе которого забота о человеке, увлечение субкультурами и инновациями в сфере технологий. Бренд назван в честь вулкана КРАКАТАУ, символа непредсказуемой изменчивости природных стихий. Слоган KRAKATAU «antagonist survival kit» воплощает в себе идею максимальной защиты от стихий, штормовых ливней и ураганных ветров. Бренд не равнодушен к вопросам защиты окружающей среды и делает выбор в сторону экологичных технологий и материалов. Плащи, куртки и брюки KRAKATAU обладают узнаваемым футуристичным дизайном и снабжены съёмными деталями, магнитными застёжками, карманами с RFID-защитой и другими утилитарными элементами. KRAKATAU представлен в 500+ магазинах hi-end уровня в странах Европы, Израиле, Китае, России и Японии. Монобрендовые магазины KRAKATAU находятся в Москве, Санкт-Петербурге и Амстердаме. Бренд является регулярным участником фэшн-выставок SEEK в Берлине и PITTI UOMO во Флоренции.","['https://krakatauwear.com/?ref=russianstreetwear.club', 'https://www.instagram.com/krakatauwear/?ref=russianstreetwear.club', 'https://vk.com/krakatau?ref=russianstreetwear.club', 'https://t.me/krakatauwear?ref=russianstreetwear.club']"
101,KUL'TURA,Краснодар,"Название пришло из концепции бренда. Понятие субкультуры уходило в прошлое, и нам хотелось объединить все то время в одно слово. Первая идея для названия была «посткультура», но хотелось чего то более легкого, и в итоге появилось слово «культура». Под таким названием мы подразумеваем альтернативную молодежную культуру в различных ее проявлениях.Мы отображаем то, что видим вокруг, без каких-либо глубоких замыслов. Считаем, что одежда должна отражать твою индивидуальность и показывать предпочтения.","['https://mykultura.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/kultura.streetwear/?ref=russianstreetwear.club', 'https://vk.com/tvoyakultura?ref=russianstreetwear.club']"
102,LAST SEEN,Москва,None,"['https://lastseen.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/stepalastseen/?ref=russianstreetwear.club', 'https://vk.com/lastseenc?ref=russianstreetwear.club']"
103,Liars Collective,Санкт-Петербург,"Hi there!We are a small group of enthusiast designers, who have a big purpose – to expose you!It's a liar's world we living in, and we're honest enough to admit it. We use a design and our creativity to get some fun out of it. Join us.We inspired by demonstration of marginal and modern mentality. Let's forget the basics and create something momentary.No rules, no future, trust us.","['https://liars.co/?ref=russianstreetwear.club', 'https://www.instagram.com/liars_collective?ref=russianstreetwear.club', 'https://www.facebook.com/LiarsCo?ref=russianstreetwear.club']"
104,LIGHT AFFECT ,Обнинск,"LIGHT AFFECT - бренд про самовыражение, удобство и минимализм.Основан на философии YOLO (you live only once). Вдохновлен культурой улиц. Мы за осознанность и практичность, поэтому наши вещи остаются качественными даже после 100 стирок!Такой осознанный подход сокращает массовое потребление и увеличивает цикл жизни вещей. Тренды 2023 года – минимализм, многослойность, монохром и яркие акценты, оверсайз и базовые модели.","['https://instagram.com/lightaffectrus?ref=russianstreetwear.club', 'https://vk.link/obninskstreetwear?ref=russianstreetwear.club']"
105,Lynch!,Москва,"Одежда в стиле футуризма, для тех, кто любит выделяться.","['https://www.instagram.com/lynch_clothes/?ref=russianstreetwear.club', 'https://vk.com/lynch_clothes?ref=russianstreetwear.club']"
106,MALLWALKERS,Пенза,"Бренд одежды MALLWALKERS был основан в 2018 году и до сих пор продолжает радовать своих постоянных клиентов и новых покупателей. Основная цель бренда это создание качественных вещей, которые помогут сделать крутой повседневный образ или выделиться на мероприятиях.","['https://mallwalkers.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/mallwalk3rs/?ref=russianstreetwear.club', 'https://vk.com/mallwalkers?ref=russianstreetwear.club']"
107,Marales,Москва,None,"['https://www.instagram.com/maraleszzz/?ref=russianstreetwear.club', 'https://vk.com/marales.shop?ref=russianstreetwear.club']"
108,Marcelo Miracles,Москва,None,"['http://marcelomiracles.store/?ref=russianstreetwear.club', 'https://www.instagram.com/marcelomiracles/?ref=russianstreetwear.club', 'https://vk.com/marcelomiracles?ref=russianstreetwear.club']"
109,Master Of Chillin''',Челябинск,Only Hardcore.,"['https://master-of-chillin.com/?ref=russianstreetwear.club', 'https://www.instagram.com/master_of_chillin/?ref=russianstreetwear.club', 'https://vk.com/mofchillin?ref=russianstreetwear.club']"
110,MEDOOZA,Санкт-Петербург,"Бренд, родившийся на берегах Невы, формирует образ, навеянный духом свободы и творчества. Стремление человека к самопознанию, его внутренняя бесконечность вдохновляют нас воплощать новое в одежде. Дополняя повседневную классику уникальными элементами, мы интерпретируем современный городской стиль, придавая ему свои очертания. Производство небольшими партиями позволяет нам уделять особое внимание деталям и качеству, подчеркивать индивидуальность, сохраняя повседневный комфорт.","['https://medooza.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/medooza_apparel/?ref=russianstreetwear.club', 'https://vk.com/medooza?ref=russianstreetwear.club']"
111,MENO,Москва, ,"['https://menomerch.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/menomerch/?ref=russianstreetwear.club', 'https://vk.com/menomerch?ref=russianstreetwear.club']"
112,meow'one,Москва,"Создаём одежду, в которой тебя запомнят.","['https://meowone.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/meowone.brand?ref=russianstreetwear.club']"
113,Miracle Apparel,Москва,"Miracle Apparel — это марка качественной простой и удобной одежды, вдохновлённая волнами, дорогами, свободой...Мы вдохновляемся путешествиями, свободой, океанами и морями, любим горы, природу и хотим внести свой вклад в её защиту. Любим дорогу — как символ свободы и движения вперёд. Любим джинсы — как символ свободы в одежде. Нам важно чтобы одежда была качественная, удобная, универсальная, простая и при этом стильная.Мы придерживаемся таких терминов как slow fashion, sustainable, slow made — большая часть вещей из нашей коллекции, особенно джинсы, разрабатываются не торопясь с продумыванием и проработкой. Много тестируем, чтобы получить стильный качественный продукт, вне сезонов и трендов. Сделанный не быстро, как масс-маркет, а продуманно. Не ради одного сезона, а чтобы долго радовать своего хозяина, при этом создавать его с минимальным ущербом окружающей среде.Большинство вещей, которые мы для вас создаём — максимально простые, но очень продуманные, зачастую классические и универсальные, они отлично подойдут как для города так и для путешествий. Прежде всего мы ценим удобство и качество, поэтому наши джинсы и одежда не могут стоить дешево, ведь тогда она не будет удовлетворять нашим основным требованиям и ценностям, ведь используя дешёвые материалы невозможно получить качественный продукт.","['https://miracleapparel.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/miracleapparel/?ref=russianstreetwear.club']"
114,MIRBA,Киров,"Уникальный, концептуальный бренд одежды.","['https://www.instagram.com/mirba.brand/?ref=russianstreetwear.club', 'https://vk.com/mirba_brand?ref=russianstreetwear.club']"
115,MOE (Made On Earth),Екатеринбург,"Мы делаем одежду.Мы вдохновляемся природой, промышленным дизайном, искусством и современной архитектурой.Мы любим экспериментировать с материалами и нанесением принтов. Нам важно сохранять баланс между простотой, лаконичностью и экспериментом. Мы ищем нестандартные решения в деталях, создавая наш фирменный стиль. Все вещи мы производим в Екатеринбурге, Россия.","['https://www.madeonearth.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/made_on_earth_/?ref=russianstreetwear.club', 'https://www.facebook.com/MOEmadeonearth/?ref=russianstreetwear.club']"
116,MOLOTOV,Пермь,"Молодёжный бескомпромиссный бренд, рождённый в городе-герое Молотов, закалённый суровыми уральскими зимами.MOLOTOV занимается созданием повседневной уличной одежды и аксессуаров с 2015 года для воплощения самых безумных идей в жизнь.","['https://molotov.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/molotov.brnd/?ref=russianstreetwear.club', 'https://vk.com/molotov_prm?ref=russianstreetwear.club']"
117,Mother Russia,Москва,"Mother Russia — это проект, где мы постарались объединить лучшие мировые тенденции в дизайне и иллюстрации с нашей страной, её историей, укладами, городами и всем, что нас окружает.","['https://motherrussia.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/mymotherrussia/?ref=russianstreetwear.club', 'https://vk.com/brandrussia?ref=russianstreetwear.club']"
118,MURMURIZM,Москва,"Мурмуризм － это яркая, повседневная одежда, наполненная иронией, самовыражением и передачей эмоций через вещь.","['https://www.murmurizm.com/?ref=russianstreetwear.club', 'https://www.instagram.com/murmurizm/?ref=russianstreetwear.club', 'https://vk.com/murmurizm?ref=russianstreetwear.club']"
119,MYDRIASIS,Москва,Последний веселый бренд.,"['https://www.instagram.com/mydriasismoscow/?ref=russianstreetwear.club', 'https://vk.com/fckdrgs?ref=russianstreetwear.club']"
120,MYZA,Москва,"MYZA — это проект двух дизайнеров из Москвы, которых объединяет любовь к стрит стайлу и графике. Лейтмотив нашего творчества — заигрывание с высокой модой в одном флаконе с уличным стилем.","['https://www.instagram.com/myzawear/?ref=russianstreetwear.club', 'https://vk.com/myzawear?ref=russianstreetwear.club']"
121,Nado_hats,Уфа,"Когда мы думаем об изделиях, которые создаем, мы видим человека. Человек с его сложным узором, слабый и сильный, душа и тень — мы делаем наши аксессуары так, чтобы не закрыть, а подчеркнуть эту личность. Личность — вот днк нашего бренда. Поверх этого узора мы создаем свои лаконичные линии и формы. Наши изделия — не прикрытие и не маска, наши изделия — это акцент. Это парфюм, который можно увидеть и который еще долго будет оставаться импринтом в глазах тех, кто провожает вас взглядом.","['https://nado-shop.ru/?ref=russianstreetwear.club', 'https://instagram.com/nado_hats?ref=russianstreetwear.club']"
122,NETO,Нальчик,"NETO - бренд одежды для «своих», а именно тех, кто любит выделяться и не быть среди серой массы.","['https://instagram.com/neto.clothes?ref=russianstreetwear.club', 'https://vk.com/netoclothes?ref=russianstreetwear.club']"
123,NIKA-WEAR,Новосибирск,Кастомная одежда.,"['https://www.instagram.com/nika._.wear/?ref=russianstreetwear.club', 'https://vk.com/nika_wear?ref=russianstreetwear.club']"
124,NikiFilini,Москва,"NIKIFILINI — это международный бренд одежды со своим производством в Москве. Cоздавая одежду, мы руководствуемся эстетикой современного общества, его изменчивостью и динамикой развития. У нас собственное видение уличного стиля в одежде, моде и искусстве в целом.","['https://nikifilini.com/?ref=russianstreetwear.club', 'https://www.instagram.com/nikifilini/?ref=russianstreetwear.club', 'https://vk.com/nikifilini?ref=russianstreetwear.club']"
125,NULL,Новотроицк/München,"При содружестве паблика RASPAD и ответвлений пабликов 663.Два парня из Европы, которые пытаются воплотить лучшие идеи и взгляды на дизайн в одном деле под названием «NULL» Европейский дизайн с нотками минимализма, авангардный стиль. ",['http://vk.com/nullhuman?ref=russianstreetwear.club']
126,O.VRAG,Москва,None,"['https://instagram.com/o.vrag?ref=russianstreetwear.club', 'https://vk.com/o.vrag?ref=russianstreetwear.club']"
127,OKTOPUS,Рязань,Ugly is new beautiful.,"['https://www.instagram.com/official_oktopus/?ref=russianstreetwear.club', 'https://vk.com/official_oktopus?ref=russianstreetwear.club']"
128,Old Lizard,Москва,Сделано с любовью к традиционной татуировке.,"['https://oldlizard.com/?ref=russianstreetwear.club', 'https://instagram.com/oldlizard.clothing?ref=russianstreetwear.club']"
129,OMERTA,Екатеринбург,"Функциональная одежда, вдохновлённая уличной эстетикой.","['https://omertawear.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/omertawear.ru/?ref=russianstreetwear.club', 'https://vk.com/omertawear?ref=russianstreetwear.club']"
130,ONE TWO,Новомосковск,"One Two — бренд уличной одежды, основанный в 2016 году и базируется в промышленном городе Новомосковск в Тульской области. Черпая вдохновение из культовой спортивной одежды и эстетики плёночных фотографий, мы концентрируемся на простых силуэтах и функциональности, чтобы создать неподвластные времени скобы, в которых влияние винтажного и наружного стиля соответствуют стилю уличной одежды. При разработке наших вещей синтезируются мужской и женский взгляд, благодаря чему вещи универсальны. Независимость и универсальность - концепция нашего бренда.","['https://onetwo.su/?ref=russianstreetwear.club', 'https://www.instagram.com/one.two_brand/?ref=russianstreetwear.club', 'https://vk.com/one.two_brand?ref=russianstreetwear.club']"
131,ONYSPB,Санкт-Петербург,ONY - это стиль без лишнего негатива и заложенности к одной вещи.,"['https://onyspb.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/onyspb?ref=russianstreetwear.club', 'https://vk.com/onyspb?ref=russianstreetwear.club']"
132,ORANGEGANG,Москва,None,"['https://orangegang.store/?ref=russianstreetwear.club', 'https://www.instagram.com/orangegangstore/?ref=russianstreetwear.club', 'https://vk.com/orangegangstore?ref=russianstreetwear.club']"
133,Ottenki,Москва,Palace of sex and riot.,"['https://www.instagram.com/ottenkiii/?ref=russianstreetwear.club', 'https://vk.com/ottenkiii?ref=russianstreetwear.club']"
134,OUT FO FAME,Москва,"Бренд OUT FO FAME основан в 2018 году.Мы не про моду, мы про стиль. Нас любят люди, которые любят комфорт в одежде.  ","['https://outfofame.com/?ref=russianstreetwear.club', 'https://www.instagram.com/outfofame/?ref=russianstreetwear.club', 'https://vk.com/outfofame?ref=russianstreetwear.club']"
135,OVERVEST,Москва,"Overvest — известный брэнд одежды в СНГ, базирующийся в Москве и ведущий свою деятельность с 2016 года (ex. stoxkholm).","['https://takeovervest.com/?ref=russianstreetwear.club', 'https://www.instagram.com/takeovervest/?ref=russianstreetwear.club', 'https://vk.com/takeovervest?ref=russianstreetwear.club']"
136,Parsec Design,Нижний Новгород,"Parsec design объединяет целеустремленных, амбициозных и мечтательных людей под эгидой своего бренда. Тех, кто не боится поверить в невозможное и доказать всем обратное. Тех, кто тянется к звездам. Возможности человека безграничны, как и безграничен космос. Это начало огромного пути, на который осмелится не каждый. Необходимо использовать все возможное, расширяя свои горизонты и преодолевая любые преграды, чтобы достичь свою заветную цель.","['https://parsec-design.ru/?ref=russianstreetwear.club', 'https://instagram.com/parsec.design?ref=russianstreetwear.club', 'https://vk.com/parsec.design?ref=russianstreetwear.club']"
137,PING TABLET,Москва,"Московский бренд уличной одежды, основанный двумя друзьями в 2017 году.","['http://pingtablet.com/?ref=russianstreetwear.club', 'https://www.instagram.com/ping_tablet/?ref=russianstreetwear.club', 'https://vk.com/pingtablet?ref=russianstreetwear.club']"
138,Province.,Новосибирск,"Бренд из провинциального городка, производство которого сосредоточено в Европе. Основной продукт бренда - деки для скейтборда. Но так же раз в год дроп одежды и аксессуаров.","['https://www.instagram.com/provinceskateboards/?ref=russianstreetwear.club', 'https://vk.com/provinceskateboards?ref=russianstreetwear.club']"
139,psycho,Краснодар,"Бренд, изначально имевший идею одиночества и грусти, имеющий сейчас идею восхождения и всесторонние вещи, направленные сразу на несколько субкультур одновременно в пределах 1 единицы одежды, в двух словах жизнь автора целиком и полностью отображается в созданных с помощью мыслей автора и командой художников. Более 1500 вещей было продано за все время.",['https://vk.com/psychhoqwe?ref=russianstreetwear.club']
140,PZHWear,Курск,"PZHWear® (По-жести) – российский бренд уличной одежды.Рисуем принты и производим крутой шмот. Отдай свою душу, у нас есть кое-что получше.","['https://pzhwear.com/?ref=russianstreetwear.club', 'https://www.instagram.com/pzhwear?ref=russianstreetwear.club', 'https://vk.com/pzhwear?ref=russianstreetwear.club']"
141,RASPAD,Иваново,"RASPAD (tag 663) - коллектив, который образовался в полноценный бренд и музыкальную группу из сети групп 663 VK. Например такие как light663, 663ger, https://www663exe и т.д. ","['http://instagram.com/raspad663?ref=russianstreetwear.club', 'https://vk.com/raspad663?ref=russianstreetwear.club']"
142,Resplendent,Москва,"Бренд, основанный в 2020 году, воплощает в себе современную роскошь, безупречное безрассудство, недооцененных бездарей и опасность московских улиц.","['https://resplendent.ru/?ref=russianstreetwear.club', 'https://www.instagram.com/resplendentclo?ref=russianstreetwear.club', 'https://vk.com/resplendentclo?ref=russianstreetwear.club']"
143,Rice,Екатеринбург,"Мы ― марка восточного характера, черпающая свое вдохновение в мудрости востока и в самобытной культуре разных стран этого региона.Основа ― это традиционность восточных стран, и это прослеживается в наших формах и принтах. В названии Rice заложен простой смысл объединения разных стран, в том числе и нашей, простым, но жизненно важным продуктом.Это ― рис.","['https://ricewear.com/?ref=russianstreetwear.club', 'https://instagram.com/ricewear?ref=russianstreetwear.club', 'https://vk.com/ricewear?ref=russianstreetwear.club']"
144,RITMIKA,Москва,"В 2009 году в Москве группой единомышленников был придуман бренд, символом которого стал кузнечик. Это не просто насекомое, не просто логотип ради логотипа, это символ прыжка выше головы. Прыжок есть ничто иное, как вечное преодоление себя, своих страхов, своих рамок восприятия. Кузнечик также является своеобразным проводником в иную вселенную, которую между собой мы называем RITMIKALAND. В этой несколько сюрреалистичной вселенной фраза «это не может быть реальным» не существует. Вселенная, в которой действуют свои законы физики, свои правила, свое описание мира.","['https://ritmika.net/?ref=russianstreetwear.club', 'https://www.instagram.com/ritmika_store/?ref=russianstreetwear.club', 'https://vk.com/ritmika?ref=russianstreetwear.club']"
145,RKTKT&ROCKIT,Санкт-Петербург,None,"['https://rockit.su/?ref=russianstreetwear.club', 'https://www.instagram.com/rockit.su/?ref=russianstreetwear.club', 'https://vk.com/rktktrockit?ref=russianstreetwear.club']"
146,RUSLAN SAYFUTDINOV,Самара,"RUSLAN SAYFUTDINOV —- бренд одежды, за который будет не стыдно, если его вывернут наизнанку. Позиция наших трудов направлена на качество во всем: от строчек до материала. В такой одежде Вы не почувствуете дискомфорт и будете точно знать за что вы заплатили.","['https://www.instagram.com/sayfutdinovbrands/?ref=russianstreetwear.club', 'https://vk.com/sayfutdinovbrands?ref=russianstreetwear.club']"
147,SAi11114,Екатеринбург,None,"['https://www.instagram.com/sai_11114/?ref=russianstreetwear.club', 'https://vk.com/sai11114?ref=russianstreetwear.club']"
148,Saint Mob,Москва, ,"['https://saintmob.store/?ref=russianstreetwear.club', 'https://www.instagram.com/saint_mob/?ref=russianstreetwear.club', 'https://vk.com/saint_mob?ref=russianstreetwear.club']"
149,SAINT SAMPLE,Омск,"Концепция бренда заключается в производстве высококачественной повседневной одежды, которая подчеркнет индивидуальность каждого владельцаМы совмещаем английскую эстетику с уличной культурой, которую можно приобрести по доступным ценам","['https://www.instagram.com/saintsampleclo/?ref=russianstreetwear.club', 'https://vk.com/saintsample?ref=russianstreetwear.club']"
150,SEEMYSOUL,Санкт-Петербург,"Мы — творческое объединение SEE MY SOUL. В 2020 году нам пришла идея создать небольшое комьюнити из людей, которые занимаются любой творческой деятельностью. Объединив творческих людей вместе, мы создали благоприятную обстановку для реализации и развития своих творческих способностей. И мы всегда находимся в поиске людей, которые готовы творить!","['https://seemysoul.shop/?ref=russianstreetwear.club', 'https://www.instagram.com/seemysoul.studios/?ref=russianstreetwear.club', 'https://vk.com/seemysoul_studios?ref=russianstreetwear.club']"
151,SERGEY CHERNOV,Москва,None,"['http://sergeychernov.website/?ref=russianstreetwear.club', 'https://www.instagram.com/sergeycherrnov/?ref=russianstreetwear.club']"
152,SETIDESIRE,Москва,"SETIDESIRE - это всегда точное попадание в настроение, в волну и поток от самого себя. Я не вульгарный! Я свободный! Наш бренд о желании быть единственным и уникальным, что позволяет создавать свой интересный и неповторимый образ.","['https://setidesire.ru/?ref=russianstreetwear.club', 'https://instagram.com/setidesire?ref=russianstreetwear.club', 'https://vk.com/setidesire?ref=russianstreetwear.club']"
